kilde (aktivitet),energiprodukt,komponent,år,statistikkvariabel,"13931: Klimagasser AR5, etter kilde (aktivitet), energiprodukt, komponent, år og statistikkvariabel"
9 Andre kilder,VT0 I alt,K11 Karbondioksid (CO2),2013,"Utslipp til luft (1 000 tonn CO2-ekvivalenter, AR5)",205
9 Andre kilder,VT0 I alt,K11 Karbondioksid (CO2),2014,"Utslipp til luft (1 000 tonn CO2-ekvivalenter, AR5)",195
9 Andre kilder,VT0 I alt,K11 Karbondioksid (CO2),2015,"Utslipp til luft (1 000 tonn CO2-ekvivalenter, AR5)",175
9 Andre kilder,VT0 I alt,K11 Karbondioksid (CO2),2016,"Utslipp til luft (1 000 tonn CO2-ekvivalenter, AR5)",186
9 Andre kilder,VT0 I alt,K11 Karbondioksid (CO2),2017,"Utslipp til luft (1 000 tonn CO2-ekvivalenter, AR5)",193
9 Andre kilder,VT0 I alt,K11 Karbondioksid (CO2),2018,"Utslipp til luft (1 000 tonn CO2-ekvivalenter, AR5)",189
9 Andre kilder,VT0 I alt,K11 Karbondioksid (CO2),2019,"Utslipp til luft (1 000 tonn CO2-ekvivalenter, AR5)",160
9 Andre kilder,VT0 I alt,K11 Karbondioksid (CO2),2020,"Utslipp til luft (1 000 tonn CO2-ekvivalenter, AR5)",200
9 Andre kilder,VT0 I alt,K11 Karbondioksid (CO2),2021,"Utslipp til luft (1 000 tonn CO2-ekvivalenter, AR5)",207
9 Andre kilder,VT0 I alt,K11 Karbondioksid (CO2),2022,"Utslipp til luft (1 000 tonn CO2-ekvivalenter, AR5)",194
9 Andre kilder,VT0 I alt,K11 Karbondioksid (CO2),2023,"Utslipp til luft (1 000 tonn CO2-ekvivalenter, AR5)",189
