,kilde (aktivitet),energiprodukt,komponent,år,statistikkvariabel,"13931: Klimagasser AR5, etter kilde (aktivitet), energiprodukt, komponent, år og statistikkvariabel"
80,0 Alle kilder,VT0 I alt,K12 Metan (CH4),2002,"Utslipp til luft (1 000 tonn CO2-ekvivalenter, AR5)",6559
81,0 Alle kilder,VT0 I alt,K12 Metan (CH4),2003,"Utslipp til luft (1 000 tonn CO2-ekvivalenter, AR5)",6513
82,0 Alle kilder,VT0 I alt,K12 Metan (CH4),2004,"Utslipp til luft (1 000 tonn CO2-ekvivalenter, AR5)",6388
83,0 Alle kilder,VT0 I alt,K12 Metan (CH4),2005,"Utslipp til luft (1 000 tonn CO2-ekvivalenter, AR5)",6167
84,0 Alle kilder,VT0 I alt,K12 Metan (CH4),2006,"Utslipp til luft (1 000 tonn CO2-ekvivalenter, AR5)",6008
85,0 Alle kilder,VT0 I alt,K12 Metan (CH4),2007,"Utslipp til luft (1 000 tonn CO2-ekvivalenter, AR5)",6104
86,0 Alle kilder,VT0 I alt,K12 Metan (CH4),2008,"Utslipp til luft (1 000 tonn CO2-ekvivalenter, AR5)",5904
87,0 Alle kilder,VT0 I alt,K12 Metan (CH4),2009,"Utslipp til luft (1 000 tonn CO2-ekvivalenter, AR5)",5899
88,0 Alle kilder,VT0 I alt,K12 Metan (CH4),2010,"Utslipp til luft (1 000 tonn CO2-ekvivalenter, AR5)",5856
89,0 Alle kilder,VT0 I alt,K12 Metan (CH4),2011,"Utslipp til luft (1 000 tonn CO2-ekvivalenter, AR5)",5639
90,0 Alle kilder,VT0 I alt,K12 Metan (CH4),2012,"Utslipp til luft (1 000 tonn CO2-ekvivalenter, AR5)",5587
91,0 Alle kilder,VT0 I alt,K12 Metan (CH4),2013,"Utslipp til luft (1 000 tonn CO2-ekvivalenter, AR5)",5513
92,0 Alle kilder,VT0 I alt,K12 Metan (CH4),2014,"Utslipp til luft (1 000 tonn CO2-ekvivalenter, AR5)",5464
93,0 Alle kilder,VT0 I alt,K12 Metan (CH4),2015,"Utslipp til luft (1 000 tonn CO2-ekvivalenter, AR5)",5458
94,0 Alle kilder,VT0 I alt,K12 Metan (CH4),2016,"Utslipp til luft (1 000 tonn CO2-ekvivalenter, AR5)",5425
95,0 Alle kilder,VT0 I alt,K12 Metan (CH4),2017,"Utslipp til luft (1 000 tonn CO2-ekvivalenter, AR5)",5340
96,0 Alle kilder,VT0 I alt,K12 Metan (CH4),2018,"Utslipp til luft (1 000 tonn CO2-ekvivalenter, AR5)",5245
97,0 Alle kilder,VT0 I alt,K12 Metan (CH4),2019,"Utslipp til luft (1 000 tonn CO2-ekvivalenter, AR5)",5025
98,0 Alle kilder,VT0 I alt,K12 Metan (CH4),2020,"Utslipp til luft (1 000 tonn CO2-ekvivalenter, AR5)",5011
99,0 Alle kilder,VT0 I alt,K12 Metan (CH4),2021,"Utslipp til luft (1 000 tonn CO2-ekvivalenter, AR5)",5006
100,0 Alle kilder,VT0 I alt,K12 Metan (CH4),2022,"Utslipp til luft (1 000 tonn CO2-ekvivalenter, AR5)",4972
101,0 Alle kilder,VT0 I alt,K12 Metan (CH4),2023,"Utslipp til luft (1 000 tonn CO2-ekvivalenter, AR5)",4796
102,0 Alle kilder,VT0 I alt,K13 Lystgass (N2O),1990,"Utslipp til luft (1 000 tonn CO2-ekvivalenter, AR5)",3832
103,0 Alle kilder,VT0 I alt,K13 Lystgass (N2O),1991,"Utslipp til luft (1 000 tonn CO2-ekvivalenter, AR5)",3699
104,0 Alle kilder,VT0 I alt,K13 Lystgass (N2O),1992,"Utslipp til luft (1 000 tonn CO2-ekvivalenter, AR5)",3219
105,0 Alle kilder,VT0 I alt,K13 Lystgass (N2O),1993,"Utslipp til luft (1 000 tonn CO2-ekvivalenter, AR5)",3393
